      Step     Time          Energy          fmax
FIRE:    0 01:57:54   -11866.084572         0.652487
FIRE:    1 01:58:40   -11866.076705         0.676456
FIRE:    2 01:59:28   -11866.059007         0.715741
FIRE:    3 02:00:13   -11866.028561         0.745702
FIRE:    4 02:00:59   -11865.982395         0.745921
FIRE:    5 02:01:46   -11865.918309         0.713379
FIRE:    6 02:02:36   -11865.835733         0.659343
FIRE:    7 02:03:21   -11865.736940         0.602895
FIRE:    8 02:04:09   -11865.616163         0.570285
FIRE:    9 02:04:56   -11865.486295         0.576872
FIRE:   10 02:05:41   -11865.366292         0.553076
FIRE:   11 02:06:26   -11865.290706         0.491710
FIRE:   12 02:07:10   -11865.268212         0.382165
FIRE:   13 02:07:56   -11865.295327         0.349660
FIRE:   14 02:08:42   -11865.381779         0.505350
FIRE:   15 02:09:29   -11865.389766         0.478347
FIRE:   16 02:10:14   -11865.402261         0.431838
FIRE:   17 02:11:01   -11865.414176         0.381902
FIRE:   18 02:11:46   -11865.421392         0.382459
FIRE:   19 02:12:33   -11865.422792         0.386433
FIRE:   20 02:13:18   -11865.419163         0.378440
FIRE:   21 02:14:05   -11865.411475         0.372510
FIRE:   22 02:14:52   -11865.399699         0.363692
FIRE:   23 02:15:36   -11865.382875         0.311966
FIRE:   24 02:16:22   -11865.360650         0.348324
FIRE:   25 02:17:08   -11865.335546         0.494877
FIRE:   26 02:17:55   -11865.316262         0.735960
FIRE:   27 02:18:45   -11865.307194         1.100647
FIRE:   28 02:19:30   -11865.309266         0.196186
FIRE:   29 02:20:19   -11865.313339         0.909086
FIRE:   30 02:21:08   -11865.313751         0.707882
FIRE:   31 02:21:54   -11865.314565         0.350729
FIRE:   32 02:22:42   -11865.315812         0.178845
FIRE:   33 02:23:30   -11865.315906         0.178576
FIRE:   34 02:24:16   -11865.316091         0.178013
FIRE:   35 02:25:07   -11865.316373         0.177024
FIRE:   36 02:25:57   -11865.316741         0.175838
FIRE:   37 02:26:45   -11865.317208         0.174313
FIRE:   38 02:27:32   -11865.317762         0.172504
FIRE:   39 02:28:19   -11865.318410         0.170232
FIRE:   40 02:29:08   -11865.319231         0.167451
FIRE:   41 02:29:54   -11865.320258         0.163917
FIRE:   42 02:30:40   -11865.321550         0.165854
FIRE:   43 02:31:28   -11865.323145         0.171715
FIRE:   44 02:32:18   -11865.325136         0.179361
FIRE:   45 02:33:07   -11865.327600         0.188798
FIRE:   46 02:33:54   -11865.330675         0.200416
FIRE:   47 02:34:43   -11865.334504         0.213338
FIRE:   48 02:35:32   -11865.339264         0.226164
FIRE:   49 02:36:21   -11865.345094         0.234130
FIRE:   50 02:37:09   -11865.352065         0.232614
FIRE:   51 02:37:54   -11865.360183         0.216983
FIRE:   52 02:38:43   -11865.369363         0.185817
FIRE:   53 02:39:29   -11865.379371         0.148843
FIRE:   54 02:40:14   -11865.389614         0.138991
FIRE:   55 02:40:59   -11865.399380         0.137180
FIRE:   56 02:41:45   -11865.408222         0.165171
FIRE:   57 02:42:32   -11865.416086         0.203523
FIRE:   58 02:43:19   -11865.423394         0.231605
FIRE:   59 02:44:06   -11865.430772         0.247774
FIRE:   60 02:44:53   -11865.438325         0.254307
FIRE:   61 02:45:41   -11865.445080         0.267498
FIRE:   62 02:46:29   -11865.448719         0.881362
FIRE:   63 02:47:15   -11865.451780         0.231961
FIRE:   64 02:48:02   -11865.452007         0.231221
FIRE:   65 02:48:48   -11865.452438         0.229862
FIRE:   66 02:49:34   -11865.453071         0.227879
FIRE:   67 02:50:21   -11865.453876         0.225257
FIRE:   68 02:51:08   -11865.454816         0.222156
FIRE:   69 02:52:00   -11865.455865         0.218612
FIRE:   70 02:52:44   -11865.457001         0.214634
FIRE:   71 02:53:30   -11865.458341         0.209595
FIRE:   72 02:54:15   -11865.459892         0.203370
FIRE:   73 02:55:01   -11865.461651         0.195673
FIRE:   74 02:55:49   -11865.463637         0.186376
FIRE:   75 02:56:36   -11865.465861         0.175254
FIRE:   76 02:57:22   -11865.468343         0.162491
FIRE:   77 02:58:09   -11865.471156         0.147879
FIRE:   78 02:58:58   -11865.474326         0.131731
FIRE:   79 02:59:44   -11865.477956         0.114483
FIRE:   80 03:00:31   -11865.482135         0.096221
FIRE:   81 03:01:17   -11865.486787         0.084464
FIRE:   82 03:02:05   -11865.491684         0.134461
FIRE:   83 03:02:50   -11865.496380         0.273588
FIRE:   84 03:03:36   -11865.496522         0.051535
FIRE:   85 03:04:21   -11865.496806         0.203176
FIRE:   86 03:05:08   -11865.496838         0.161525
FIRE:   87 03:05:53   -11865.496901         0.086825
FIRE:   88 03:06:42   -11865.497000         0.040039
