Loading mkl version 2023.0.0
Loading tbb version 2021.8.0
Loading compiler-rt version 2023.0.0
Loading mpi version 2021.8.0
Loading compiler version 2023.0.0
Loading oclfpga version 2023.0.0
  Load "debugger" to debug DPC++ applications with the gdb-oneapi debugger.
  Load "dpl" for additional DPC++ APIs: https://github.com/oneapi-src/oneDPL

Loading abacus/3.7.5-icx
  Loading requirement: tbb/latest compiler-rt/latest mkl/latest mpi/latest
    oclfpga/latest compiler/latest
     Step     Time          Energy         fmax         cmax       rtrust          rho
Sella   0 08:59:29  -105973.795560       0.3720       0.0000       0.1000       1.0000
Sella   1 12:04:26  -105974.915420       0.2707       0.0000       0.1000       0.8563
Sella   2 12:19:47  -105975.009900       0.3921       0.0000       0.1000       0.3381
Sella   3 12:33:49  -105975.066130       0.4098       0.0000       0.1000       0.5912
Sella   4 12:47:30  -105975.054470       0.3545       0.0000       0.0514      -0.1113
Sella   5 13:01:44  -105975.137490       0.4391       0.0000       0.0514       0.8994
Sella   6 13:16:02  -105975.158080       0.3707       0.0000       0.0514       0.3737
Sella   7 13:30:11  -105975.197880       0.1459       0.0000       0.0514       1.2184
Sella   8 13:44:23  -105975.215080       0.5218       0.0000       0.0514       0.4145
Sella   9 13:58:29  -105975.251800       0.1729       0.0000       0.0514       1.2390
Sella  10 14:12:36  -105975.260010       0.4079       0.0000       0.0514       0.2472
Sella  11 14:26:43  -105975.288100       0.1205       0.0000       0.0514       1.1130
Sella  12 14:40:57  -105975.294910       0.1987       0.0000       0.0514       0.3992
Sella  13 14:54:45  -105975.311230       0.0920       0.0000       0.0514       1.2828
Sella  14 15:08:32  -105975.317280       0.2054       0.0000       0.0514       0.3058
Sella  15 15:22:27  -105975.334820       0.1000       0.0000       0.0514       1.1888
Sella  16 15:36:22  -105975.339120       0.1742       0.0000       0.0514       0.3395
Sella  17 15:50:26  -105975.351920       0.0849       0.0000       0.0514       1.3074
Sella  18 16:04:10  -105975.356090       0.1937       0.0000       0.0514       0.3418
Sella  19 16:18:18  -105975.368930       0.0784       0.0000       0.0514       1.2650
Sella  20 16:32:10  -105975.374850       0.1908       0.0000       0.0514       0.6703
Sella  21 16:46:02  -105975.384550       0.1128       0.0000       0.0514       1.1964
Sella  22 16:59:24  -105975.392420       0.1317       0.0000       0.0514       0.7945
Sella  23 17:12:47  -105975.402330       0.1179       0.0000       0.0514       1.2069
Sella  24 17:26:07  -105975.412310       0.1694       0.0000       0.0514       0.6668
Sella  25 17:39:37  -105975.423460       0.1175       0.0000       0.0514       1.1014
Sella  26 17:53:26  -105975.432190       0.1406       0.0000       0.0514       0.7400
Sella  27 18:07:17  -105975.440910       0.1041       0.0000       0.0514       1.0919
Sella  28 18:20:34  -105975.447860       0.1148       0.0000       0.0514       0.7655
Sella  29 18:34:02  -105975.454790       0.1082       0.0000       0.0514       1.0703
Sella  30 18:47:26  -105975.460770       0.1196       0.0000       0.0514       0.9719
Sella  31 19:00:58  -105975.466610       0.1235       0.0000       0.0514       0.8561
Sella  32 19:15:25  -105975.472490       0.0892       0.0000       0.0514       1.2482
Sella  33 19:28:50  -105975.475070       0.2617       0.0000       0.0514       0.2351
Sella  34 19:42:21  -105975.483360       0.0646       0.0000       0.0514       1.0913
Sella  35 19:55:49  -105975.485980       0.0931       0.0000       0.0514       0.6344
Sella  36 20:09:27  -105975.490380       0.0569       0.0000       0.0514       1.3309
Sella  37 20:25:01  -105975.493640       0.1404       0.0000       0.0514       0.3831
Sella  38 20:38:07  -105975.499100       0.0644       0.0000       0.0514       1.0223
Sella  39 20:51:28  -105975.501380       0.0753       0.0000       0.0514       0.6383
Sella  40 21:04:38  -105975.504800       0.0472       0.0000       0.0514       1.3637
===== Sella Calculation Done at Fri Sep 20 21:04:44 CST 2024! =====
