N_IMG is 8
===== AutoNEB Job Starting at Wed Nov  8 15:34:58 CST 2023 =====
 ===== Make Initial NEB Guess =====
--- Successfully make guessed image chain by idpp method ! ---
===== Running NEB =====
----- Running ASE-NEB -----
----- improvedtangent method is being used -----
----- Parallel calculation is being used -----
      Step     Time          Energy          fmax
FIRE:    0 16:17:16  -263918.497320         2.391197
FIRE:    1 16:58:45  -263918.596740         2.010948
FIRE:    2 17:40:43  -263918.728400         1.329585
FIRE:    3 18:21:14  -263918.817660         1.597429
FIRE:    4 19:02:33  -263918.855540         1.569250
FIRE:    5 19:43:54  -263918.865370         1.338163
FIRE:    6 20:24:53  -263918.882230         0.943911
FIRE:    7 21:05:35  -263918.901650         0.805449
FIRE:    8 21:46:26  -263918.919220         0.656472
FIRE:    9 22:26:52  -263918.932840         0.790042
FIRE:   10 23:07:08  -263918.942870         0.846252
FIRE:   11 23:47:36  -263918.951000         0.797424
FIRE:   12 00:28:33  -263918.959830         0.714182
FIRE:   13 01:09:55  -263918.971820         0.672182
FIRE:   14 01:50:56  -263918.989630         0.653457
FIRE:   15 02:31:54  -263919.012920         0.491450
FIRE:   16 03:13:03  -263919.035340         0.402703
FIRE:   17 03:54:17  -263919.051850         0.483902
FIRE:   18 04:35:31  -263919.067780         0.446905
FIRE:   19 05:17:17  -263919.087110         0.465709
FIRE:   20 05:58:56  -263919.105950         0.485773
FIRE:   21 06:39:21  -263919.118600         0.421637
FIRE:   22 07:19:26  -263919.128870         0.392873
FIRE:   23 07:59:53  -263919.138550         0.423656
FIRE:   24 08:41:26  -263919.141140         0.804386
FIRE:   25 09:22:58  -263919.147790         0.334708
FIRE:   26 10:04:40  -263919.149520         0.856665
FIRE:   27 10:46:15  -263919.156740         0.381039
FIRE:   28 11:27:56  -263919.158790         0.618953
FIRE:   29 12:09:26  -263919.159970         0.460999
FIRE:   30 12:50:58  -263919.161380         0.181590
FIRE:   31 13:32:36  -263919.162090         0.238132
FIRE:   32 14:14:18  -263919.162360         0.445338
FIRE:   33 14:55:49  -263919.163170         0.474195
FIRE:   34 15:37:44  -263919.164620         0.326128
FIRE:   35 16:19:47  -263919.165960         0.151310
FIRE:   36 17:01:44  -263919.166720         0.274136
FIRE:   37 17:43:32  -263919.167560         0.368612
FIRE:   38 18:25:30  -263919.169260         0.213501
FIRE:   39 19:07:22  -263919.170810         0.190776
FIRE:   40 19:49:17  -263919.171850         0.326303
FIRE:   41 20:31:06  -263919.173580         0.143637
FIRE:   42 21:12:42  -263919.174050         0.308430
FIRE:   43 21:54:16  -263919.175050         0.127616
FIRE:   44 22:35:46  -263919.174600         0.351992
FIRE:   45 23:17:07  -263919.174920         0.212313
FIRE:   46 23:58:22  -263919.174340         0.093882
