----- Running ASE-NEB -----
----- improvedtangent method is being used -----
----- Parallel calculation is being used -----
      Step     Time          Energy          fmax
FIRE:    0 16:50:48    -7051.845345         0.733359
FIRE:    1 16:53:44    -7051.879062         0.594320
FIRE:    2 16:56:39    -7051.922971         0.350617
FIRE:    3 16:59:18    -7051.949616         0.195919
FIRE:    4 17:02:01    -7051.951295         0.224455
FIRE:    5 17:04:47    -7051.952800         0.217455
FIRE:    6 17:07:33    -7051.955533         0.203700
FIRE:    7 17:10:25    -7051.958973         0.183747
FIRE:    8 17:13:04    -7051.962508         0.159008
FIRE:    9 17:15:42    -7051.965466         0.134910
FIRE:   10 17:18:34    -7051.967701         0.103314
FIRE:   11 17:21:25    -7051.968988         0.112794
FIRE:   12 17:24:13    -7051.969789         0.129614
FIRE:   13 17:27:03    -7051.970598         0.138944
FIRE:   14 17:29:55    -7051.972043         0.136817
FIRE:   15 17:32:49    -7051.974469         0.120972
FIRE:   16 17:35:43    -7051.977592         0.091176
FIRE:   17 17:38:31    -7051.980373         0.075211
FIRE:   18 17:41:20    -7051.981840         0.058992
FIRE:   19 17:44:06    -7051.982561         0.090015
FIRE:   20 17:46:57    -7051.983863         0.090542
FIRE:   21 17:49:49    -7051.985435         0.047680
